Time|s,weaBus.TDryBul|degC,weaBus.HGloHor|W/m2
0,-12.199987,0
900,-12.254675,0
1800,-12.283331,0
2700,-12.2703,0
3600,-12.199987,0
4500,-12.088842,0
5400,-11.966101,0
6300,-11.835302,0
7200,-11.699987,0
8100,-11.552984,0
9000,-11.394323,0
9900,-11.238501,0
10800,-11.100012,0
11700,-11.042486,0
12600,-11.0716,0
13500,-11.114904,0
14400,-11.100012,0
15300,-10.983526,0
16200,-10.815924,0
17100,-10.66535,0
18000,-10.600012,0
18900,-10.600012,0
19800,-10.600012,0
20700,-10.600012,0
21600,-10.600012,0
22500,-10.600012,0
23400,-10.600012,0
24300,-10.600012,0
25200,-10.600012,0.90789473
26100,-10.542639,4.3963814
27000,-10.39707,12
27900,-10.202948,28.092567
28800,-10.000006,53.312634
29700,-9.79627,83.62638
30600,-9.559179,115
31500,-9.267523,146.68878
32400,-8.9,179.69447
33300,-8.403906,212.60292
34200,-7.80625,244
35100,-7.205481,272.17044
36000,-6.699988,297.03445
36900,-6.275,319.6313
37800,-5.8500123,341
38700,-5.424994,358.85373
39600,-5.000006,369.42554
40500,-4.574988,371.53458
41400,-4.15,364
42300,-3.7250123,338.69067
43200,-3.299994,298.17514
44100,-2.940619,257.32205
45000,-2.674994,231
45900,-2.446875,217.96025
46800,-2.199988,206.07762
47700,-1.8734497,193.90619
48600,-1.5124878,180
49500,-1.2203125,164.74605
50400,-1.1000122,149.4117
51300,-1.1000122,133.87149
52200,-1.1000122,118
53100,-1.1000122,101.07923
54000,-1.1000122,83.12357
54900,-1.1000122,65.106125
55800,-1.1000122,48
56700,-1.1000122,32.610523
57600,-1.1000122,19.704144
58500,-1.1000122,10.195695
59400,-1.1000122,5
60300,-1.1000122,2.680664
61200,-1.1000122,1.1328125
62100,-1.1669067,0.2685547
63000,-1.3284057,0
63900,-1.5257019,0
64800,-1.6999878,0
65700,-1.8393921,0
66600,-1.9701904,0
67500,-2.090918,0
68400,-2.199988,0
69300,-2.0919557,0
70200,-1.7174743,0
71100,-1.3092407,0
72000,-1.1000122,0
72900,-1.1805176,0
73800,-1.3968567,0
74700,-1.6147827,0
75600,-1.6999878,0
76500,-1.5823425,0
77400,-1.3620666,0
78300,-1.1607727,0
79200,-1.1000122,0
80100,-1.2036804,0
81000,-1.3764709,0
81900,-1.5610412,0
82800,-1.6999878,0
83700,-1.7387451,0
84600,-1.7062134,0
85500,-1.6705993,0
86400,-1.6999878,0
87300,-2.077765,0
88200,-2.806128,0
89100,-3.5314088,0
90000,-3.9,0
90900,-3.7628236,0
91800,-3.3701844,0
92700,-2.967444,0
93600,-2.799994,0
94500,-2.8994508,0
95400,-3.0749269,0
96300,-3.2379212,0
97200,-3.299994,0
98100,-3.2561097,0
99000,-3.1591249,0
99900,-3.0075746,0
100800,-2.799994,0
101700,-2.424994,0
102600,-1.8944458,0
103500,-1.3916687,0
104400,-1.1000122,0
105300,-1.0477966,0
106200,-1.085791,0
107100,-1.130896,0
108000,-1.1000122,0
108900,-0.98032224,0
109800,-0.835791,0
110700,-0.69837034,0.6356383
111600,-0.6000122,2.3617022
112500,-0.5897583,4.9069147
113400,-0.64090574,8
114300,-0.6715759,13.433935
115200,-0.6000122,22.380566
116100,-0.4499878,33.636913
117000,-0.2999939,46
117900,-0.15,63.162994
118800,-6.1035157e-06,85.66919
119700,0.14998779,107.59079
120600,0.3000122,123
121500,0.4500061,128.78195
122400,0.6,129.0748
123300,0.8562561,128.83023
124200,1.225,133
125100,1.5562378,143.02885
126000,1.7000061,155.29947
126900,1.7000061,167.17033
127800,1.7000061,176
128700,1.7000061,181.52397
129600,1.7000061,185.13535
130500,1.7000061,186.67905
131400,1.7000061,186
132300,1.7000061,183.40132
133200,1.7000061,179.24562
134100,1.4890076,173.4671
135000,0.99572146,166
135900,0.42955932,157.0625
136800,-6.1035157e-06,146.83333
137700,-0.26990357,135.1875
138600,-0.4783081,122
139500,-0.5975708,106.221985
140400,-0.6000122,88.25862
141300,-0.39832154,70.16595
142200,-0.027380371,54
143100,0.35723266,39.896553
144000,0.6,27.241379
144900,0.6862427,16.965517
145800,0.7099854,10
146700,0.6787354,5.625
147600,0.6,2.5
148500,0.34145507,0.625
149400,-0.08948364,0
150300,-0.47565308,0
151200,-0.6000122,0
152100,-0.39282838,0
153000,-0.02652588,0
153900,0.35305175,0
154800,0.6,0
155700,0.72484744,0
156600,0.84255373,0
157500,0.9640137,0
158400,1.1,0
159300,1.248407,0
160200,1.3988892,0
161100,1.5499207,0
162000,1.7000061,0
162900,1.8440491,0
163800,1.9767395,0
164700,2.0960326,0
165600,2.200006,0
166500,1.9100586,0
167400,1.1478211,0
168300,0.36168823,0
169200,-6.1035157e-06,0
170100,-6.1035157e-06,0
171000,-6.1035157e-06,0
171900,-6.1035157e-06,0
172800,-6.1035157e-06,0
173700,-6.1035157e-06,0
174600,-6.1035157e-06,0
175500,-6.1035157e-06,0
176400,-6.1035157e-06,0
177300,-6.1035157e-06,0
178200,-6.1035157e-06,0
179100,-6.1035157e-06,0
180000,-6.1035157e-06,0
180900,0.096307375,0
181800,0.30681762,0
182700,0.51390994,0
183600,0.6,0
184500,0.5501343,0
185400,0.43068847,0
186300,0.24587402,0
187200,-6.1035157e-06,0
188100,-0.275,0
189000,-0.5499939,0
189900,-0.82498777,0
190800,-1.1000122,0
191700,-1.3750061,0
192600,-1.65,0
193500,-1.9249939,0
194400,-2.199988,0
195300,-2.4750123,0
196200,-2.7500062,0
197100,-3.025,1.25
198000,-3.299994,5
198900,-3.4289002,11.25
199800,-3.36875,20
200700,-3.2742066,31.83635
201600,-3.299994,46.730263
202500,-3.5331178,63.759045
203400,-3.8757691,82
204300,-4.2055726,102.116844
205200,-4.4,124.10545
206100,-4.4698243,146.04134
207000,-4.5002503,166
207900,-4.4805665,183.79173
208800,-4.4,199.2827
209700,-4.2847657,210.63232
210600,-4.165625,216
211500,-4.038672,217.3772
212400,-3.9,218.07602
213300,-3.7515626,218.23685
214200,-3.6000123,218
215100,-3.4484315,217.5826
216000,-3.299994,217.10913
216900,-3.1398377,216.5811
217800,-2.9770875,216
218700,-2.8507752,215.64378
219600,-2.799994,214.99054
220500,-2.799994,212.84204
221400,-2.799994,208
222300,-2.799994,198.1785
223200,-2.799994,183.39755
224100,-2.799994,165.91783
225000,-2.799994,148
225900,-2.799994,130.3875
226800,-2.799994,112.5
227700,-2.799994,94.6125
228600,-2.799994,77
229500,-2.799994,59.49602
230400,-2.799994,42.456062
231300,-2.799994,26.938068
232200,-2.799994,14
233100,-2.799994,5.458807
234000,-2.799994,1.3522727
234900,-2.799994,0.06960227
235800,-2.799994,0
236700,-2.799994,0
237600,-2.799994,0
238500,-2.799994,0
239400,-2.799994,0
240300,-2.799994,0
241200,-2.799994,0
242100,-2.799994,0
243000,-2.799994,0
243900,-2.799994,0
244800,-2.799994,0
245700,-2.799994,0
246600,-2.799994,0
247500,-2.799994,0
248400,-2.799994,0
249300,-2.799994,0
250200,-2.799994,0
251100,-2.799994,0
252000,-2.799994,0
252900,-2.799994,0
253800,-2.799994,0
254700,-2.799994,0
255600,-2.799994,0
256500,-2.799994,0
257400,-2.799994,0
258300,-2.799994,0
259200,-2.799994,0
260100,-2.799994,0
261000,-2.799994,0
261900,-2.799994,0
262800,-2.799994,0
263700,-2.799994,0
264600,-2.799994,0
265500,-2.799994,0
266400,-2.799994,0
267300,-2.799994,0
268200,-2.799994,0
269100,-2.799994,0
270000,-2.799994,0
270900,-2.878119,0
271800,-3.049994,0
272700,-3.221869,0
273600,-3.299994,0
274500,-3.299994,0
275400,-3.299994,0
276300,-3.299994,0
277200,-3.299994,0
278100,-3.299994,0
279000,-3.299994,0
279900,-3.299994,0
280800,-3.299994,0
281700,-3.2346559,0
282600,-3.0840821,0
283500,-2.9164796,0.68875
284400,-2.799994,3.42
285300,-2.785071,9.19125
286200,-2.8284059,19
287100,-2.8575196,32.45128
288000,-2.799994,47.543415
288900,-2.6615052,62.863842
289800,-2.5056825,77
290700,-2.3470216,90.03013
291600,-2.199988,103.00717
292500,-2.0652528,115.98063
293400,-1.9354004,129
294300,-1.8128113,142.72058
295200,-1.6999878,157.02942
296100,-1.6631836,170.82353
297000,-1.7089294,183
297900,-1.7502197,190.34558
298800,-1.6999878,192.33824
299700,-1.561499,191.91176
300600,-1.4056762,192
301500,-1.2470154,193.65402
302400,-1.1000122,195.25388
303300,-0.96469724,195.72678
304200,-0.8338989,194
305100,-0.7111572,187.78154
306000,-0.6000122,177.435
306900,-0.5296997,165.87096
307800,-0.5166687,156
308700,-0.5453247,149.33714
309600,-0.6000122,144.11995
310500,-0.695166,138.34277
311400,-0.83295286,130
312300,-0.9792541,116.079216
313200,-1.1000122,97.42202
314100,-1.1181091,77.80382
315000,-1.0517029,61
315900,-1.009436,46.96135
316800,-1.1000122,33.785088
317700,-1.4227356,22.466284
318600,-1.9090942,14
319500,-2.4158998,8.0390625
320400,-2.799994,3.6458333
321300,-3.074988,0.9296875
322200,-3.3500123,0
323100,-3.6250062,0
324000,-3.9,0
324900,-4.174994,0
325800,-4.449988,0
326700,-4.7250123,0
327600,-5.000006,0
328500,-5.1681275,0
329400,-5.1733766,0
330300,-5.091925,0
331200,-5.000006,0
332100,-4.8633485,0
333000,-4.6573243,0
333900,-4.472632,0
334800,-4.4,0
335700,-4.449866,0
336600,-4.5693116,0
337500,-4.754126,0
338400,-5.000006,0
339300,-5.275,0
340200,-5.549994,0
341100,-5.824988,0
342000,-6.1000123,0
