Time|s,walCap.T|degC,zon.T|degC
0,19.999994,19.999994
900,19.990747,19.997248
1800,19.98147,19.99093
2700,19.972223,19.983057
3600,19.962976,19.974451
4500,19.95379,19.96551
5400,19.944605,19.956415
6300,19.93548,19.94732
7200,19.926386,19.938196
8100,19.917353,19.929132
9000,19.90835,19.9201
9900,19.899408,19.911097
10800,19.890497,19.902124
11700,19.881617,19.893183
12600,19.872736,19.884302
13500,19.863855,19.875422
14400,19.855005,19.86654
15300,19.846186,19.85769
16200,19.837397,19.848871
17100,19.828669,19.840082
18000,19.81994,19.831324
18900,19.811243,19.822596
19800,19.802515,19.813868
20700,19.793818,19.80514
21600,19.78509,19.796412
22500,19.776423,19.787714
23400,19.767725,19.779016
24300,19.759058,19.770319
25200,19.750452,19.761683
26100,19.74209,19.753138
27000,19.734064,19.744776
27900,19.727167,19.736872
28800,19.723413,19.730402
29700,19.723871,19.726587
30600,19.728235,19.726282
31500,19.735193,19.729334
32400,19.744043,19.735071
33300,19.754694,19.743067
34200,19.767023,19.752985
35100,19.780909,19.764673
36000,19.796167,19.777948
36900,19.812464,19.792597
37800,19.829462,19.808374
38700,19.846643,19.824884
39600,19.863123,19.841578
40500,19.878077,19.857752
41400,19.890985,19.872675
42300,19.90133,19.885767
43200,19.90835,19.896418
44100,19.911676,19.903986
45000,19.911829,19.90832
45900,19.909906,19.909723
46800,19.906733,19.9089
47700,19.902826,19.90658
48600,19.898615,19.903284
49500,19.894556,19.89953
50400,19.891016,19.895746
51300,19.888056,19.892267
52200,19.885431,19.889185
53100,19.882593,19.886347
54000,19.879236,19.883356
54900,19.875208,19.879969
55800,19.870691,19.876093
56700,19.865747,19.871698
57600,19.860407,19.866877
58500,19.8547,19.861689
59400,19.84875,19.856134
60300,19.842737,19.850367
61200,19.836725,19.844446
62100,19.830683,19.838465
63000,19.82461,19.832453
63900,19.818506,19.82638
64800,19.812311,19.820246
65700,19.806116,19.814112
66600,19.79989,19.807917
67500,19.793634,19.801722
68400,19.787348,19.795465
69300,19.781122,19.78924
70200,19.774958,19.783014
71100,19.768946,19.77691
72000,19.762964,19.770838
72900,19.756952,19.764795
73800,19.75088,19.758722
74700,19.744745,19.75265
75600,19.738611,19.746546
76500,19.732508,19.740442
77400,19.726465,19.73437
78300,19.720484,19.728327
79200,19.714502,19.722315
80100,19.70852,19.716303
81000,19.702478,19.71029
81900,19.696375,19.704218
82800,19.69024,19.698145
83700,19.684107,19.692041
84600,19.677973,19.685907
85500,19.671839,19.679804
86400,19.665735,19.67367
87300,19.65951,19.667536
88200,19.653101,19.66128
89100,19.64651,19.654871
90000,19.639826,19.64837
90900,19.633142,19.641779
91800,19.62652,19.635157
92700,19.62005,19.628595
93600,19.613611,19.622065
94500,19.607141,19.615564
95400,19.600641,19.609064
96300,19.59408,19.602533
97200,19.587519,19.596003
98100,19.580988,19.589472
99000,19.574488,19.582941
99900,19.568018,19.57644
100800,19.56161,19.570002
101700,19.555292,19.563593
102600,19.549128,19.557276
103500,19.543055,19.55105
104400,19.537043,19.544947
105300,19.531122,19.538904
106200,19.525171,19.532923
107100,19.51925,19.526941
108000,19.513361,19.52102
108900,19.507471,19.515131
109800,19.501612,19.509241
110700,19.495813,19.503382
111600,19.490046,19.497583
112500,19.484247,19.491755
113400,19.47848,19.485987
114300,19.472742,19.480219
115200,19.467066,19.474482
116100,19.461481,19.468836
117000,19.455927,19.46319
117900,19.450434,19.457636
118800,19.44494,19.452112
119700,19.439478,19.446589
120600,19.434015,19.441126
121500,19.428614,19.435663
122400,19.423212,19.430231
123300,19.417933,19.42489
124200,19.412714,19.41958
125100,19.407587,19.414362
126000,19.402521,19.409174
126900,19.397486,19.404078
127800,19.39245,19.399012
128700,19.387476,19.393976
129600,19.382471,19.388971
130500,19.377497,19.383966
131400,19.372522,19.378992
132300,19.367548,19.374018
133200,19.362543,19.369013
134100,19.357477,19.364008
135000,19.352259,19.358912
135900,19.346918,19.353724
136800,19.341425,19.348413
137700,19.33587,19.342981
138600,19.330225,19.337458
139500,19.324549,19.331873
140400,19.318872,19.326227
141300,19.313227,19.320581
142200,19.307642,19.314936
143100,19.30221,19.309381
144000,19.296839,19.303919
144900,19.291498,19.298517
145800,19.286158,19.293116
146700,19.280817,19.287745
147600,19.275446,19.282404
148500,19.270044,19.277033
149400,19.26452,19.2716
150300,19.258875,19.266047
151200,19.253199,19.260462
152100,19.247583,19.254877
153000,19.24212,19.249323
153900,19.236689,19.24383
154800,19.231348,19.238398
155700,19.226068,19.233027
156600,19.220789,19.227716
157500,19.21557,19.222406
158400,19.210352,19.217157
159300,19.205194,19.211939
160200,19.200068,19.206781
161100,19.195002,19.201654
162000,19.189966,19.196558
162900,19.184961,19.191492
163800,19.180017,19.186487
164700,19.175135,19.181543
165600,19.170252,19.17663
166500,19.165247,19.171656
167400,19.160059,19.16662
168300,19.154688,19.161432
169200,19.149225,19.156122
170100,19.143732,19.150751
171000,19.138239,19.145319
171900,19.132776,19.139856
172800,19.127283,19.134394
173700,19.12179,19.1289
174600,19.116327,19.123438
175500,19.110834,19.117945
176400,19.105371,19.112482
177300,19.099909,19.10702
178200,19.094416,19.101526
179100,19.088953,19.096064
180000,19.08349,19.090601
180900,19.078058,19.085138
181800,19.072657,19.079706
182700,19.067347,19.074335
183600,19.062067,19.068995
184500,19.056757,19.063654
185400,19.051416,19.058344
186300,19.046015,19.052973
187200,19.040552,19.047571
188100,19.034998,19.042078
189000,19.029413,19.036585
189900,19.023737,19.031
190800,19.018,19.025385
191700,19.012201,19.019678
192600,19.006311,19.01388
193500,19.00036,19.00802
194400,18.994318,19.00207
195300,18.988214,18.996058
196200,18.98202,18.989985
197100,18.975733,18.98382
198000,18.969416,18.977564
198900,18.963007,18.971247
199800,18.956629,18.9649
200700,18.950281,18.95852
201600,18.943903,18.952173
202500,18.937494,18.945765
203400,18.930994,18.939356
204300,18.924402,18.932856
205200,18.91775,18.926294
206100,18.911097,18.919703
207000,18.904413,18.91305
207900,18.8977,18.906397
208800,18.891016,18.899714
209700,18.884363,18.89303
210600,18.877771,18.886408
211500,18.87124,18.879816
212400,18.86474,18.873255
213300,18.858301,18.866755
214200,18.851892,18.860285
215100,18.845545,18.853876
216000,18.839258,18.847528
216900,18.832972,18.841211
217800,18.826777,18.834925
218700,18.82055,18.828669
219600,18.814386,18.822443
220500,18.808191,18.816248
221400,18.802027,18.810053
222300,18.795893,18.803888
223200,18.789728,18.797724
224100,18.783564,18.79156
225000,18.77743,18.785395
225900,18.771265,18.77926
226800,18.765131,18.773096
227700,18.758966,18.766962
228600,18.752802,18.760798
229500,18.746637,18.754633
230400,18.740473,18.748468
231300,18.734308,18.742304
232200,18.728144,18.73614
233100,18.72198,18.729975
234000,18.715815,18.72381
234900,18.70965,18.717646
235800,18.703485,18.711481
236700,18.697351,18.705347
237600,18.691187,18.699183
238500,18.685022,18.693048
239400,18.678888,18.686884
240300,18.672724,18.68072
241200,18.66659,18.674585
242100,18.660425,18.66842
243000,18.654291,18.662287
243900,18.648157,18.656122
244800,18.642023,18.649988
245700,18.635859,18.643854
246600,18.629725,18.63772
247500,18.62359,18.631556
248400,18.617456,18.625422
249300,18.611322,18.619287
250200,18.605188,18.613153
251100,18.599054,18.60702
252000,18.59295,18.600916
252900,18.586817,18.594782
253800,18.580683,18.588648
254700,18.574549,18.582514
255600,18.568445,18.57641
256500,18.562311,18.570276
257400,18.556208,18.564173
258300,18.550074,18.558039
259200,18.54397,18.551935
260100,18.537867,18.545801
261000,18.531733,18.539698
261900,18.525629,18.533594
262800,18.519526,18.52746
263700,18.513422,18.521357
264600,18.507318,18.515253
265500,18.501215,18.50915
266400,18.495111,18.503046
267300,18.489008,18.496943
268200,18.482904,18.490839
269100,18.4768,18.484735
270000,18.470728,18.478632
270900,18.464594,18.472528
271800,18.45843,18.466394
272700,18.452204,18.4602
273600,18.445978,18.454004
274500,18.439722,18.44781
275400,18.433496,18.441584
276300,18.42727,18.435358
277200,18.421045,18.429132
278100,18.41482,18.422907
279000,18.408594,18.416681
279900,18.4024,18.410456
280800,18.396173,18.40426
281700,18.389978,18.398035
282600,18.383844,18.39187
283500,18.37774,18.385706
284400,18.371668,18.379602
285300,18.365595,18.373499
286200,18.359522,18.367426
287100,18.353449,18.361353
288000,18.347437,18.35531
288900,18.341425,18.349268
289800,18.335505,18.343287
290700,18.329584,18.337336
291600,18.323725,18.331415
292500,18.317926,18.325556
293400,18.312159,18.319727
294300,18.306421,18.313929
295200,18.300745,18.308191
296100,18.295038,18.302485
297000,18.289331,18.296778
297900,18.283655,18.29107
298800,18.27801,18.285395
299700,18.272364,18.279749
300600,18.26681,18.274103
301500,18.261225,18.268518
302400,18.255732,18.262964
303300,18.250238,18.25741
304200,18.244776,18.251917
305100,18.239344,18.246454
306000,18.233973,18.241022
306900,18.228632,18.235651
307800,18.223291,18.23028
308700,18.21792,18.224909
309600,18.21255,18.219538
310500,18.207117,18.214136
311400,18.201654,18.208704
312300,18.196161,18.203241
313200,18.190638,18.197748
314100,18.185114,18.192255
315000,18.17962,18.186762
315900,18.174067,18.181238
316800,18.168482,18.175684
317700,18.162867,18.1701
318600,18.15713,18.164484
319500,18.15124,18.158716
320400,18.145288,18.152887
321300,18.139246,18.146967
322200,18.133112,18.140985
323100,18.126917,18.134882
324000,18.12066,18.128717
324900,18.114313,18.122461
325800,18.107874,18.116144
326700,18.101374,18.109735
327600,18.094812,18.103266
328500,18.08819,18.096735
329400,18.081568,18.090143
330300,18.074945,18.083551
331200,18.068323,18.07693
332100,18.061762,18.070337
333000,18.055231,18.063745
333900,18.048792,18.057245
334800,18.042353,18.050776
335700,18.035883,18.044306
336600,18.029413,18.037806
337500,18.022882,18.031305
338400,18.01626,18.024775
339300,18.009577,18.018152
340200,18.002863,18.0115
341100,17.996058,18.004816
342000,17.989191,17.998041
