Time|s,zon.T|degC
0,19.999994
2000,24.656122
4000,27.451685
6000,28.286676
8000,28.570948
10000,28.71609
12000,28.826685
14000,28.928675
16000,29.028498
18000,29.127832
20000,29.227137
22000,29.32635
24000,29.425531
26000,29.524775
28000,29.625055
30000,29.732843
32000,29.856104
34000,29.991602
36000,30.136194
38000,30.287653
40000,30.442102
42000,30.592707
44000,30.732569
46000,30.857538
48000,30.971796
50000,31.08166
52000,31.191614
54000,31.302454
56000,31.411615
58000,31.518427
60000,31.623407
62000,31.727411
64000,31.831049
66000,31.934443
68000,32.0375
70000,32.140404
72000,32.24343
74000,32.34658
76000,32.449547
78000,32.552544
80000,32.65554
82000,32.758446
84000,32.861137
86000,32.963707
88000,33.066093
90000,33.16793
92000,33.26928
94000,33.370598
96000,33.47204
98000,33.573296
100000,33.674522
102000,33.77587
104000,33.877556
106000,33.979607
108000,34.08178
110000,34.184013
112000,34.28634
114000,34.388634
116000,34.49108
118000,34.593742
120000,34.696465
122000,34.799217
124000,34.902122
126000,35.005363
128000,35.108727
130000,35.21215
132000,35.315575
134000,35.418877
136000,35.521782
138000,35.624107
140000,35.725945
142000,35.827538
144000,35.929314
146000,36.031303
148000,36.133263
150000,36.23501
152000,36.336357
154000,36.437767
156000,36.53939
158000,36.641167
160000,36.743065
162000,36.845085
164000,36.947258
166000,37.049553
168000,37.151634
170000,37.253044
172000,37.354057
174000,37.454887
176000,37.555626
178000,37.656273
180000,37.75689
182000,37.857506
184000,37.958214
186000,38.05886
188000,38.159294
190000,38.259422
192000,38.359154
194000,38.458427
196000,38.557274
198000,38.655663
200000,38.753685
202000,38.851555
204000,38.94918
206000,39.04647
208000,39.143486
210000,39.24038
212000,39.337334
214000,39.43441
216000,39.53167
218000,39.62905
220000,39.726555
222000,39.82409
224000,39.921593
226000,40.019035
228000,40.116417
230000,40.213737
232000,40.310966
234000,40.408134
236000,40.50524
238000,40.602257
240000,40.69921
242000,40.796104
244000,40.892937
246000,40.989708
248000,41.08642
250000,41.183067
252000,41.279655
254000,41.376152
256000,41.47262
258000,41.569023
260000,41.665367
262000,41.76165
264000,41.857872
266000,41.954002
268000,42.050102
270000,42.14611
272000,42.241997
274000,42.33773
276000,42.433342
278000,42.52883
280000,42.62429
282000,42.71969
284000,42.815117
286000,42.910576
288000,43.006035
290000,43.101524
292000,43.197136
294000,43.2929
296000,43.388756
298000,43.484673
300000,43.58062
302000,43.67663
304000,43.772728
306000,43.86892
308000,43.965202
310000,44.061455
312000,44.157555
314000,44.25347
316000,44.349236
318000,44.444847
320000,44.540062
322000,44.634758
324000,44.728905
326000,44.822594
328000,44.915825
330000,45.00872
332000,45.101402
334000,45.194206
336000,45.2871
338000,45.379997
340000,45.472588
342000,45.56478
344000,45.656548
346000,45.747856
348000,45.83883
350000,45.92962
352000,46.02044
354000,46.11138
356000,46.202293
358000,46.29296
360000,46.38314
362000,46.472557
364000,46.560936
366000,46.648186
368000,46.73449
370000,46.820152
372000,46.905754
374000,46.994347
376000,47.09365
378000,47.20849
380000,47.33776
382000,47.47915
384000,47.62829
386000,47.78161
388000,47.93731
390000,48.094444
392000,48.251762
394000,48.406303
396000,48.55532
398000,48.697838
400000,48.831444
402000,48.95037
404000,49.05715
406000,49.15676
408000,49.251488
410000,49.34301
412000,49.433403
414000,49.523277
416000,49.612816
418000,49.701927
420000,49.79061
422000,49.87887
424000,49.966637
426000,50.05404
428000,50.141167
430000,50.22814
432000,50.31481
434000,50.401085
436000,50.4869
438000,50.57238
440000,50.657707
442000,50.74285
444000,50.8276
446000,50.911766
448000,50.995384
450000,51.078697
452000,51.16189
454000,51.244926
456000,51.327812
458000,51.41091
460000,51.495598
462000,51.588493
464000,51.697533
466000,51.819786
468000,51.950005
470000,52.080925
472000,52.203728
474000,52.308983
476000,52.403343
478000,52.49575
480000,52.58529
482000,52.671562
484000,52.759148
486000,52.8496
488000,52.940483
490000,53.03054
492000,53.118797
494000,53.20443
496000,53.287193
498000,53.36843
500000,53.448967
502000,53.528893
504000,53.608513
506000,53.68795
508000,53.766808
510000,53.84533
512000,53.923912
514000,54.002586
516000,54.081383
518000,54.160027
520000,54.238304
522000,54.3164
524000,54.3944
526000,54.47219
528000,54.549767
530000,54.627098
532000,54.704155
534000,54.780968
536000,54.857506
538000,54.93383
540000,55.009758
542000,55.08532
544000,55.16146
546000,55.24331
548000,55.338127
550000,55.451866
552000,55.580376
554000,55.718285
556000,55.862267
558000,56.010246
560000,56.160362
562000,56.311363
564000,56.46261
566000,56.61367
568000,56.763786
570000,56.911858
572000,57.056175
574000,57.19448
576000,57.322777
578000,57.43331
580000,57.5263
582000,57.60891
584000,57.687553
586000,57.764915
588000,57.841484
