Time|s,zon.T|degC,vavDam.y
0,19.999994,0
900,21.625574,0
1367.1797,22.999994,0
1367.1797,22.999994,0
1800,23.545832,0
2700,22.849146,0
3600,21.897974,0
4500,21.211695,0
4880.4775,20.999994,0
4880.4775,20.999994,0
5400,21.456171,0
6027.525,22.999994,0
6027.525,22.999994,0
6300,23.435389,0
7200,22.972284,0
8100,22.019037,0
9000,21.302301,0
9534.909,20.999994,0
9534.909,20.999994,0
9900,21.197657,0
10678.429,22.999994,0
10678.429,22.999994,0
10800,23.260767,0
11700,23.138239,0
12600,22.180964,0
13500,21.420618,0
14225.165,20.999994,0
14225.165,20.999994,0
14400,21.008661,0
15300,22.824823,0
15365.307,22.999994,0
15365.307,22.999994,0
16200,23.317469,0
17100,22.385828,0
18000,21.572168,0
18900,21.024805,0
18952.176,20.999994,0
18952.176,20.999994,0
19800,22.23266,0
20088.963,22.999994,0
20088.963,22.999994,0
20700,23.46853,0
21600,22.636652,0
22500,21.764551,0
23400,21.157312,0
23716.785,20.999994,0
23716.785,20.999994,0
24300,21.60592,0
24850.307,22.999994,0
24850.307,22.999994,0
25200,23.488611,0
26100,22.929682,0
27000,22.007532,0
27900,21.327845,0
28533.586,20.999994,0
28533.586,20.999994,0
28800,21.090601,0
29657.473,22.999994,0
29657.473,22.999994,0
29700,23.1076,0
30600,23.277094,0
31500,22.38482,0
32400,21.658045,0
33300,21.193995,0
33888.87,20.999994,0
33888.87,20.999994,0
34200,21.184717,0
34964.008,22.999994,0
34964.008,22.999994,0
35100,23.307825,0
36000,23.335962,0
36900,22.540064,0
37800,21.910364,0
38700,21.517054,0
39600,21.294489,0
40500,21.178919,0
41400,21.12646,0
42300,21.109491,0
43200,21.110407,0
44100,21.117731,0
45000,21.125116,0
45900,21.130274,0
46800,21.133112,0
47700,21.133875,0
48600,21.133234,0
49500,21.132074,0
50400,21.131372,0
51300,21.131922,0
52200,21.133783,0
53100,21.136286,0
54000,21.138391,0
54900,21.13943,0
55800,21.139124,0
56700,21.137598,0
57600,21.134851,0
58500,21.130915,0
59400,21.12597,0
60300,21.120356,0
61200,21.114405,0
62100,21.108362,0
63000,21.102198,0
63900,21.095972,0
64800,21.089655,0
65700,21.083277,0
66600,21.076838,0
67500,21.070368,0
68400,21.063837,0
69300,21.057276,0
70200,21.050714,0
71100,21.044214,0
72000,21.037745,0
72900,21.031336,0
73800,21.024958,0
74700,21.01858,0
75600,21.012201,0
76500,21.005762,0
77308.26,20.999994,0
77308.26,20.999994,0
77400,21.019342,0
78300,22.892542,0
78336.39,22.999994,0
78336.39,22.999994,0
79200,23.5964,0
80100,22.91192,0
81000,22.260279,0
81900,21.809229,0
82800,21.519403,0
83700,21.335901,0
84600,21.218653,0
85500,21.142176,0
86400,21.090784,0
87300,21.055048,0
88200,21.029047,0
89100,21.009272,0
89604.24,20.999994,0
89604.24,20.999994,0
90000,21.373346,0
90632.47,22.999994,0
90632.47,22.999994,0
90900,23.52035,0
91800,23.385523,0
92700,22.651026,0
93600,22.062037,0
94500,21.669306,0
95400,21.419214,0
96300,21.260584,0
97200,21.158533,0
98100,21.091242,0
99000,21.045374,0
99900,21.012934,0
100355.03,20.999994,0
100355.03,20.999994,0
100800,21.46667,0
101384.31,22.999994,0
101384.31,22.999994,0
101700,23.566278,0
102600,23.339075,0
103500,22.60061,0
104400,22.020319,0
105300,21.635523,0
106200,21.391016,0
107100,21.23617,0
108000,21.136683,0
108900,21.071192,0
109800,21.026728,0
110548.16,20.999994,0
110548.16,20.999994,0
110700,21.053827,0
111578.01,22.999994,0
111578.01,22.999994,0
111600,23.062525,0
112500,23.544062,0
113400,22.827845,0
114300,22.17895,0
115200,21.734766,0
116100,21.450586,0
117000,21.271173,0
117900,21.156946,0
118800,21.082666,0
119700,21.032953,0
120553.88,20.999994,0
120553.88,20.999994,0
120600,21.003687,0
121500,22.75442,0
121583.914,22.999994,0
121583.914,22.999994,0
122400,23.600122,0
123300,22.91424,0
124200,22.242487,0
125100,21.77572,0
126000,21.476099,0
126900,21.287043,0
127800,21.166925,0
128700,21.089136,0
129600,21.03747,0
130500,21.001978,0
130560.79,20.999994,0
130560.79,20.999994,0
131400,22.44784,0
131590.62,22.999994,0
131590.62,22.999994,0
132300,23.642572,0
133200,23.005579,0
134100,22.313288,0
135000,21.823206,0
135900,21.506922,0
136800,21.307001,0
137700,21.179865,0
138600,21.097498,0
139500,21.042597,0
140400,21.004755,0
140538.66,20.999994,0
140538.66,20.999994,0
141300,22.23031,0
