Time|s,zon.T|degC,TOut.port.T|degC
0,19.999994,-12.199987
900,19.998072,-12.254675
1800,19.99328,-12.283331
2700,19.98672,-12.2703
3600,19.97912,-12.199987
4500,19.970911,-12.088842
5400,19.962336,-11.966101
6300,19.953547,-11.835302
7200,19.944666,-11.699987
8100,19.935694,-11.552984
9000,19.926722,-11.394323
9900,19.91775,-11.238501
10800,19.908808,-11.100012
11700,19.899897,-11.042486
12600,19.891016,-11.0716
13500,19.882135,-11.114904
14400,19.873285,-11.100012
15300,19.864435,-10.983526
16200,19.855616,-10.815924
17100,19.846827,-10.66535
18000,19.838037,-10.600012
18900,19.829279,-10.600012
19800,19.82055,-10.600012
20700,19.811823,-10.600012
21600,19.803095,-10.600012
22500,19.794397,-10.600012
23400,19.7857,-10.600012
24300,19.777033,-10.600012
25200,19.768396,-10.600012
26100,19.75976,-10.542639
27000,19.751245,-10.39707
27900,19.742853,-10.202948
28800,19.734735,-10.000006
29700,19.727045,-9.79627
30600,19.719904,-9.559179
31500,19.713465,-9.267523
32400,19.70788,-8.9
33300,19.70315,-8.403906
34200,19.699366,-7.80625
35100,19.696558,-7.205481
36000,19.694666,-6.699988
36900,19.693659,-6.275
37800,19.693506,-5.8500123
38700,19.694147,-5.424994
39600,19.695429,-5.000006
40500,19.69729,-4.574988
41400,19.699549,-4.15
42300,19.70202,-3.7250123
43200,19.704401,-3.299994
44100,19.706354,-2.940619
45000,19.707758,-2.674994
45900,19.708582,-2.446875
46800,19.708918,-2.199988
47700,19.708826,-1.8734497
48600,19.708368,-1.5124878
49500,19.707575,-1.2203125
50400,19.706476,-1.1000122
51300,19.705042,-1.1000122
52200,19.703241,-1.1000122
53100,19.701044,-1.1000122
54000,19.69845,-1.1000122
54900,19.695398,-1.1000122
55800,19.691889,-1.1000122
56700,19.687952,-1.1000122
57600,19.683588,-1.1000122
58500,19.678827,-1.1000122
59400,19.67373,-1.1000122
60300,19.66836,-1.1000122
61200,19.662775,-1.1000122
62100,19.657038,-1.1669067
63000,19.651209,-1.3284057
63900,19.645288,-1.5257019
64800,19.639338,-1.6999878
65700,19.633326,-1.8393921
66600,19.627283,-1.9701904
67500,19.62118,-2.090918
68400,19.615046,-2.199988
69300,19.608881,-2.0919557
70200,19.602747,-1.7174743
71100,19.596643,-1.3092407
72000,19.590601,-1.1000122
72900,19.584589,-1.1805176
73800,19.578577,-1.3968567
74700,19.572565,-1.6147827
75600,19.566553,-1.6999878
76500,19.56051,-1.5823425
77400,19.55456,-1.3620666
78300,19.548578,-1.1607727
79200,19.542627,-1.1000122
80100,19.536676,-1.2036804
81000,19.530725,-1.3764709
81900,19.524714,-1.5610412
82800,19.518702,-1.6999878
83700,19.51269,-1.7387451
84600,19.506647,-1.7062134
85500,19.500605,-1.6705993
86400,19.494562,-1.6999878
87300,19.48849,-2.077765
88200,19.482325,-2.806128
89100,19.476068,-3.5314088
90000,19.46972,-3.9
90900,19.463282,-3.7628236
91800,19.456812,-3.3701844
92700,19.450342,-2.967444
93600,19.443903,-2.799994
94500,19.437464,-2.8994508
95400,19.431025,-3.0749269
96300,19.424585,-3.2379212
97200,19.418116,-3.299994
98100,19.411676,-3.2561097
99000,19.405237,-3.1591249
99900,19.398798,-3.0075746
100800,19.39239,-2.799994
101700,19.386072,-2.424994
102600,19.379816,-1.8944458
103500,19.373652,-1.3916687
104400,19.367609,-1.1000122
105300,19.361628,-1.0477966
106200,19.355677,-1.085791
107100,19.349787,-1.130896
108000,19.343897,-1.1000122
108900,19.338037,-0.98032224
109800,19.332209,-0.835791
110700,19.32641,-0.69837034
111600,19.320673,-0.6000122
112500,19.314966,-0.5897583
113400,19.309351,-0.64090574
114300,19.303797,-0.6715759
115200,19.298395,-0.6000122
116100,19.293116,-0.4499878
117000,19.28808,-0.2999939
117900,19.28335,-0.15
118800,19.278986,-6.1035157e-06
119700,19.27508,0.14998779
120600,19.271662,0.3000122
121500,19.268702,0.4500061
122400,19.266108,0.6
123300,19.263819,0.8562561
124200,19.261744,1.225
125100,19.259882,1.5562378
126000,19.258265,1.7000061
126900,19.256922,1.7000061
127800,19.255884,1.7000061
128700,19.255121,1.7000061
129600,19.254602,1.7000061
130500,19.254267,1.7000061
131400,19.254084,1.7000061
132300,19.253931,1.7000061
133200,19.253809,1.7000061
134100,19.253626,1.4890076
135000,19.25332,0.99572146
135900,19.252802,0.42955932
136800,19.252039,-6.1035157e-06
137700,19.251001,-0.26990357
138600,19.249598,-0.4783081
139500,19.247797,-0.5975708
140400,19.24563,-0.6000122
141300,19.243006,-0.39832154
142200,19.239985,-0.027380371
143100,19.236567,0.35723266
144000,19.232782,0.6
144900,19.228662,0.6862427
145800,19.224268,0.7099854
146700,19.219599,0.6787354
147600,19.214746,0.6
148500,19.209742,0.34145507
149400,19.204554,-0.08948364
150300,19.199244,-0.47565308
151200,19.193842,-0.6000122
152100,19.188349,-0.39282838
153000,19.182825,-0.02652588
153900,19.177332,0.35305175
154800,19.171839,0.6
155700,19.166407,0.72484744
156600,19.161036,0.84255373
157500,19.155695,0.9640137
158400,19.150446,1.1
159300,19.145227,1.248407
160200,19.14007,1.3988892
161100,19.134943,1.5499207
162000,19.129847,1.7000061
162900,19.12478,1.8440491
163800,19.119776,1.9767395
