Time|s,zon.T|degC
0,19.999994
900,20.03277
1800,20.44259
2700,20.810114
3600,21.0664
4500,21.23147
5400,21.334986
6300,21.399591
7200,21.440271
8100,21.466455
9000,21.483973
9900,21.496302
10800,21.505396
11700,21.512201
12600,21.51681
13500,21.519678
14400,21.521753
15300,21.524042
16200,21.527185
17100,21.530909
18000,21.534601
18900,21.53753
19800,21.53982
20700,21.541742
21600,21.54342
22500,21.544977
23400,21.546442
24300,21.547876
25200,21.54928
26100,21.550867
27000,21.553278
27900,21.55691
28800,21.5617
29700,21.5675
30600,21.574305
31500,21.582483
32400,21.592432
33300,21.6047
34200,21.619745
35100,21.637323
36000,21.656397
36900,21.675867
37800,21.69552
38700,21.715601
39600,21.73623
40500,21.757318
41400,21.778803
42300,21.80044
43200,21.822016
44100,21.84292
45000,21.86239
45900,21.880121
46800,21.8966
47700,21.912745
48600,21.929163
49500,21.94552
50400,21.960627
51300,21.973383
52200,21.984186
53100,21.9938
53731.367,21.999994
53731.367,21.999994
54000,21.950953
54900,21.4649
55800,20.96438
56700,20.592249
57600,20.337824
58500,20.168756
59400,20.057093
60058.145,19.999994
60058.145,19.999994
60300,20.010828
61200,20.401941
62100,20.91189
63000,21.303614
63900,21.56347
64800,21.726892
65700,21.827814
66600,21.889887
67500,21.928186
68400,21.952143
69300,21.968164
70200,21.981806
71100,21.995295
71423.26,21.999994
71423.26,21.999994
72000,21.815699
72900,21.286127
73800,20.825586
74700,20.494165
75600,20.269129
76500,20.120386
77400,20.023584
77694.63,19.999994
77694.63,19.999994
78300,20.121607
79200,20.61712
80100,21.090021
81000,21.425837
81900,21.642542
82800,21.777552
83700,21.86117
84600,21.913782
85500,21.947718
86400,21.970087
87300,21.98379
88200,21.988794
89100,21.987085
90000,21.982935
90900,21.981287
91800,21.984339
92700,21.991175
93600,21.999292
93682.93,21.999994
93682.93,21.999994
94500,21.675562
95400,21.141077
96300,20.712214
97200,20.411097
98100,20.209223
99000,20.076136
99761.17,19.999994
99761.17,19.999994
99900,19.998163
100800,20.337152
101700,20.85174
102600,21.263636
103500,21.54513
104400,21.727503
105300,21.842615
106200,21.914454
107100,21.959436
108000,21.988398
108484.57,21.999994
