Time|s,zon.T|degC
0,19.999994
900,20.312494
1800,20.86709
2700,21.326227
3600,21.641321
4500,21.84408
5400,21.971582
5674.7695,21.999994
5674.7695,21.999994
6300,21.832544
7200,21.338923
8100,20.905909
9000,20.592432
9900,20.37826
10800,20.234644
11700,20.138453
12600,20.073328
13500,20.028284
14275.9,19.999994
14275.9,19.999994
14400,20.003199
15300,20.364435
16200,20.902094
17100,21.33108
18000,21.622065
18900,21.80868
19800,21.92608
20700,21.99975
20703.818,21.999994
20703.818,21.999994
21600,21.66775
22500,21.159967
23400,20.754694
24300,20.469202
25200,20.276178
26100,20.147211
27000,20.060877
27900,20.002375
27944.738,19.999994
27944.738,19.999994
28800,20.254206
29700,20.783625
30600,21.233728
31500,21.546381
32400,21.749903
33300,21.880243
34200,21.964472
34730.062,21.999994
34730.062,21.999994
35100,21.929438
36000,21.449976
36900,20.978754
37800,20.631556
38700,20.39596
39600,20.241663
40500,20.142511
41400,20.079676
42300,20.040277
43200,20.015772
44100,20.000391
44128.207,19.999994
44128.207,19.999994
45000,20.290552
45900,20.842646
46800,21.307215
47700,21.629938
48600,21.840784
49500,21.976374
49707.16,21.999994
49707.16,21.999994
50400,21.806849
51300,21.319757
52200,20.90368
53100,20.606012
54000,20.404749
54900,20.271479
55800,20.183588
56700,20.125208
57600,20.08581
58500,20.058435
59400,20.038721
60300,20.02389
61200,20.01211
62100,20.002344
62337.41,19.999994
62337.41,19.999994
63000,20.178339
63900,20.71612
64800,21.210443
65700,21.561548
66600,21.791132
67500,21.937128
68065.31,21.999994
68065.31,21.999994
68400,21.953272
69300,21.50097
70200,21.035028
71100,20.685877
72000,20.445246
72900,20.284327
73800,20.177576
74700,20.106562
75600,20.05865
76500,20.025629
77400,20.002192
77500.445,19.999994
77500.445,19.999994
78300,20.243647
79200,20.786737
80100,21.25628
81000,21.583765
81900,21.796595
82800,21.931787
83480.125,21.999994
83480.125,21.999994
83700,21.981775
84600,21.555689
85500,21.073938
86400,20.706537
87300,20.451899
88200,20.281153
89100,20.16778
90000,20.092218
90900,20.041162
91800,20.005945
91988.16,19.999994
91988.16,19.999994
92700,20.192347
93600,20.72436
94500,21.203424
95400,21.54156
96300,21.762049
97200,21.902124
98100,21.990778
98222.05,21.999994
98222.05,21.999994
99000,21.74029
99900,21.233759
100800,20.815943
101700,20.519373
102600,20.318872
103500,20.185633
104400,20.097284
105300,20.038324
106152.95,19.999994
106152.95,19.999994
106200,19.999231
107100,20.316095
108000,20.854212
108900,21.295435
109800,21.59817
110700,21.793879
111600,21.918177
112500,21.997278
112539.53,21.999994
112539.53,21.999994
113400,21.691523
114300,21.185541
115200,20.778559
116100,20.492151
117000,20.299555
117900,20.172297
118800,20.088678
119700,20.033686
120521.48,19.999994
120521.48,19.999994
120600,20.000177
121500,20.337946
122400,20.879267
123300,21.31936
124200,21.621607
125100,21.818262
126000,21.944788
126560.85,21.999994
126560.85,21.999994
126900,21.948908
127800,21.49154
128700,21.025873
129600,20.679438
130500,20.442835
131400,20.286646
132300,20.185053
133200,20.11944
134100,20.077051
135000,20.049555
135900,20.031458
136800,20.01925
137700,20.010675
138600,20.004297
139340.42,19.999994
139340.42,19.999994
139500,20.010614
140400,20.406946
141300,20.957972
142200,21.393091
143100,21.68841
144000,21.878992
144897.84,21.999994
144897.84,21.999994
144900,22.000238
145800,21.695398
146700,21.208216
147600,20.817438
148500,20.542292
149400,20.356867
150300,20.233728
151200,20.152033
152100,20.097345
153000,20.060083
153900,20.034052
154800,20.015284
155700,20.001154
155785.5,19.999994
155785.5,19.999994
156600,20.256647
157500,20.804712
158400,21.275171
159300,21.602808
160200,21.81582
161100,21.95141
161556.7,21.999994
161556.7,21.999994
162000,21.913507
162900,21.439386
163800,20.985834
164700,20.651606
165600,20.422876
166500,20.270472
167400,20.169733
168300,20.102839
169200,20.057795
170100,20.026789
171000,20.004786
171239.08,19.999994
171239.08,19.999994
171900,20.173029
172800,20.705774
173700,21.196833
174600,21.546045
175500,21.774622
176400,21.920252
177149.56,21.999994
177149.56,21.999994
177300,21.995111
178200,21.59826
179100,21.112146
180000,20.736414
180900,20.47497
181800,20.299616
182700,20.183466
183600,20.10647
184500,20.054956
185400,20.019861
186102.47,19.999994
186102.47,19.999994
186300,20.013239
187200,20.41488
188100,20.95376
189000,21.375177
189900,21.659937
190800,21.843073
191700,21.959192
192147.27,21.999994
192147.27,21.999994
192600,21.904322
193500,21.420954
194400,20.963343
195300,20.626764
196200,20.396235
197100,20.242304
198000,20.1401
198900,20.071924
199800,20.025812
200503.9,19.999994
200503.9,19.999994
200700,20.011774
201600,20.408472
202500,20.944391
203400,21.364313
204300,21.648645
205200,21.832209
206100,21.949549
206654.77,21.999994
206654.77,21.999994
207000,21.944727
207900,21.48141
208800,21.013086
209700,20.664942
210600,20.427027
211500,20.26974
212400,20.16723
213300,20.100763
214200,20.057703
215100,20.029688
216000,20.011347
216829,19.999994
216829,19.999994
216900,20.001429
217800,20.349787
218700,20.90249
219600,21.351923
220500,21.660883
221400,21.862146
222300,21.991724
222373.52,21.999994
222373.52,21.999994
223200,21.739527
224100,21.253565
225000,20.856104
225900,20.575342
226800,20.386469
227700,20.261683
228600,20.179468
229500,20.124903
230400,20.088007
231300,20.062311
